2022-05-20 04:28:36,779 p=102868 u=root n=ansible | PLAY [Configuring Master] *****************************************************************************************************
2022-05-20 04:34:51,837 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:51,869 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:51,876 p=102868 u=root n=ansible | TASK [k8s_slave : Create /etc/docker directory] *******************************************************************************
2022-05-20 04:34:51,959 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:51,968 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:51,975 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:52,013 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:52,021 p=102868 u=root n=ansible | TASK [k8s_slave : Update docker driver to systemd] ****************************************************************************
2022-05-20 04:34:52,099 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:52,109 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:52,126 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:52,141 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:52,149 p=102868 u=root n=ansible | TASK [k8s_slave : Start and Enable docker] ************************************************************************************
2022-05-20 04:34:52,219 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:52,273 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:52,296 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:52,335 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:52,342 p=102868 u=root n=ansible | TASK [k8s_slave : Configure yum for kubernetes] *******************************************************************************
2022-05-20 04:34:52,438 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:52,451 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:52,496 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:52,498 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:52,509 p=102868 u=root n=ansible | TASK [k8s_slave : Install kubelet, kubeadm and kubectl packages] **************************************************************
2022-05-20 04:34:52,582 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:52,622 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:52,649 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:52,650 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:52,657 p=102868 u=root n=ansible | TASK [k8s_slave : Enable kubelet] *********************************************************************************************
2022-05-20 04:34:52,736 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:52,757 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:52,792 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:52,830 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:52,837 p=102868 u=root n=ansible | TASK [k8s_slave : Install iproute-tc package] *********************************************************************************
2022-05-20 04:34:52,946 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:52,957 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:52,980 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:53,023 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:53,030 p=102868 u=root n=ansible | TASK [k8s_slave : Copy k8s.conf file for bridging] ****************************************************************************
2022-05-20 04:34:53,104 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:53,119 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:53,151 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:53,169 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:53,186 p=102868 u=root n=ansible | TASK [k8s_slave : Enabling bridging for kernel in the slave node] *************************************************************
2022-05-20 04:34:53,273 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:53,325 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:53,328 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:53,334 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:53,340 p=102868 u=root n=ansible | TASK [k8s_slave : Join the slave and master nodes] ****************************************************************************
2022-05-20 04:34:53,423 p=102868 u=root n=ansible | skipping: [3.85.134.176]
2022-05-20 04:34:53,429 p=102868 u=root n=ansible | skipping: [54.82.86.157]
2022-05-20 04:34:53,468 p=102868 u=root n=ansible | skipping: [54.88.55.143]
2022-05-20 04:34:53,468 p=102868 u=root n=ansible | skipping: [54.235.23.38]
2022-05-20 04:34:53,477 p=102868 u=root n=ansible | TASK [k8s_slave : Add an apt signing key for Docker] **************************************************************************
2022-05-20 04:34:59,600 p=102868 u=root n=ansible | changed: [3.85.134.176]
2022-05-20 04:34:59,647 p=102868 u=root n=ansible | changed: [54.235.23.38]
2022-05-20 04:34:59,656 p=102868 u=root n=ansible | changed: [54.88.55.143]
2022-05-20 04:34:59,901 p=102868 u=root n=ansible | changed: [54.82.86.157]
2022-05-20 04:34:59,906 p=102868 u=root n=ansible | TASK [k8s_slave : Add apt repository for stable version of Docker] ************************************************************
2022-05-20 04:35:14,921 p=102868 u=root n=ansible | changed: [3.85.134.176]
2022-05-20 04:35:15,119 p=102868 u=root n=ansible | changed: [54.88.55.143]
2022-05-20 04:35:15,157 p=102868 u=root n=ansible | changed: [54.235.23.38]
2022-05-20 04:35:15,653 p=102868 u=root n=ansible | changed: [54.82.86.157]
2022-05-20 04:35:15,659 p=102868 u=root n=ansible | TASK [k8s_slave : Install docker and its dependecies] *************************************************************************
2022-05-20 04:36:32,482 p=102868 u=root n=ansible | changed: [3.85.134.176]
2022-05-20 04:36:33,249 p=102868 u=root n=ansible | changed: [54.88.55.143]
2022-05-20 04:36:37,035 p=102868 u=root n=ansible | changed: [54.82.86.157]
2022-05-20 04:36:41,400 p=102868 u=root n=ansible | changed: [54.235.23.38]
2022-05-20 04:36:41,408 p=102868 u=root n=ansible | TASK [k8s_slave : Changing Docker Driver to systemd] **************************************************************************
2022-05-20 04:36:53,668 p=102868 u=root n=ansible | changed: [3.85.134.176]
2022-05-20 04:36:53,880 p=102868 u=root n=ansible | changed: [54.235.23.38]
2022-05-20 04:36:53,941 p=102868 u=root n=ansible | changed: [54.88.55.143]
2022-05-20 04:36:54,416 p=102868 u=root n=ansible | changed: [54.82.86.157]
2022-05-20 04:36:54,423 p=102868 u=root n=ansible | TASK [k8s_slave : Remove swapfile from /etc/fstab] ****************************************************************************
2022-05-20 04:36:59,994 p=102868 u=root n=ansible | ok: [3.85.134.176] => (item=swap)
2022-05-20 04:37:00,015 p=102868 u=root n=ansible | ok: [54.88.55.143] => (item=swap)
2022-05-20 04:37:00,063 p=102868 u=root n=ansible | ok: [54.235.23.38] => (item=swap)
2022-05-20 04:37:00,258 p=102868 u=root n=ansible | ok: [54.82.86.157] => (item=swap)
